id,method,partisan,survey_houses,date,moe,type,n,state,dem,gop,lib,undecided,gap,weight
16733,Internet,false,YouGov,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),5,likely voters,740,US,0.47901514411,0.48098485588999995,-1,0.03,0.020000000000000018,9.959255504555045
16684,Automated Phone,true,Mitchell Research (R),Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),2.71,likely voters,1305,MI,0.51,0.46,-1,0.01,0.04999999999999999,4.87793471857633
16681,Automated Phone,false,Gravis Marketing,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3.3,likely voters,872,US,0.48559266329,0.47440733670999996,-1,0.04,0,9.95467557898291
16680,Automated Phone,false,"Maine People's Resource Center",Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),3.26,likely voters,905,ME,0.53,0.42,0.01,0.03,0.11000000000000004,9.897308096124114
16679,Live Phone,false,TIPP,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3.7,likely voters,712,US,0.50246591687,0.48753408313,-1,0.010000000000000009,0.010000000000000009,10.036335904618687
16677,Automated Phone,false,Rasmussen Reports,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1500,US,0.4949082911,0.47509170889999996,-1,0.030000000000000027,-0.010000000000000009,9.929529507955671
16676,Internet,false,Angus Reid,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),5,likely voters,1019,US,0.51838045239,0.47161954760999997,-1,0.010000000000000009,0.030000000000000027,10.02013522479367
16675,Internet,false,Angus Reid,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),4.1,likely voters,572,OH,0.51838045239,0.47161954760999997,-1,0.010000000000000009,0.030000000000000027,10.02013522479367
16674,Live Phone,false,Tarrance Group and Lake Research Partners,Sun Nov 04 2012 06:00:00 GMT-0600 (CST),3.1,likely voters,1000,US,0.47,0.47,-1,0.06,0,9.75586943715266
16672,Internet,true,JZ Analytics,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3.5,likely voters,832,OH,0.51298716426,0.43701283574,-1,0.06,0.07,4.93988360738469
16671,Internet,true,JZ Analytics,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3.5,likely voters,876,FL,0.48298716426,0.47701283574,-1,0.05,0,4.93988360738469
16670,Internet,true,JZ Analytics,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3.1,likely voters,1041,US,0.47298716426,0.46701283573999997,-1,0.06,0,4.93988360738469
16669,Live Phone,false,CVOTER International,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),5,likely voters,3000,US,0.49,0.48,-1,0.030000000000000027,0.010000000000000009,9.944686867789962
16668,Live Phone,true,Keating Research,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),4,likely voters,603,CO,0.5,0.46,-1,0.02,0.03999999999999998,4.9951717543474405
16667,Internet,false,Ipsos,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),5,likely voters,774,CO,0.48,0.47,-1,0.050000000000000044,0.010000000000000009,10.040427879183545
16666,Internet,false,Ipsos,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),5,likely voters,769,FL,0.47,0.48,-1,0.050000000000000044,-0.010000000000000009,10.040427879183545
16665,Internet,false,Ipsos,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),5,likely voters,680,OH,0.5,0.46,-1,0.03999999999999998,0.03999999999999998,10.040427879183545
16664,Internet,false,Ipsos,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),5,likely voters,828,VA,0.48,0.46,-1,0.06,0.019999999999999962,10.040427879183545
16663,Automated Phone,false,Nielson Brothers,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),3.95,likely voters,617,SD,0.40081375717999995,0.53918624282,-1,0.06,-0.12000000000000005,9.871376777913486
16662,Automated Phone,true,Public Policy Polling (D),Tue Oct 02 2012 07:00:00 GMT-0500 (CDT),5,likely voters,778,NM,0.52,0.43,-1,0.05,0.09000000000000002,5.010344528239843
16661,Internet,false,Angus Reid,Thu Nov 01 2012 19:00:00 GMT-0500 (CDT),5,likely voters,502,FL,0.49838045239,0.48161954761,-1,0.020000000000000018,0,10.02013522479367
16660,Automated Phone,false,Gravis Marketing,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),3,likely voters,1060,PA,0.49559266329,0.45440733671,-1,0.04999999999999999,0.02999999999999997,9.95467557898291
16659,Automated Phone,false,Gravis Marketing,Sun Nov 04 2012 06:00:00 GMT-0600 (CST),3.1,likely voters,1060,FL,0.49559266329,0.48440733670999997,-1,0.020000000000000018,0,9.95467557898291
16658,Live Phone,false,ABC News|Washington Post|Abt SRBI,Fri Nov 02 2012 07:00:00 GMT-0500 (CDT),2.5,likely voters,2345,US,0.4996870137266667,0.4703129862733333,-1,0.01,0.030000000000000027,10.087470330197492
16657,Automated Phone,false,Gravis Marketing,Sun Nov 04 2012 06:00:00 GMT-0600 (CST),2.7,likely voters,1316,OH,0.49559266329,0.47440733670999996,-1,0.030000000000000027,0.010000000000000009,9.95467557898291
16655,Internet,false,Ipsos,Fri Nov 02 2012 19:00:00 GMT-0500 (CDT),5,likely voters,4725,US,0.48,0.46,-1,0.04,0.019999999999999962,10.040427879183545
16654,Automated Phone,false,Rasmussen Reports,Sat Nov 03 2012 19:00:00 GMT-0500 (CDT),4,likely voters,750,NH,0.5149082911,0.46509170889999996,-1,0.02,0.020000000000000018,9.929529507955671
