id,method,partisan,survey_houses,date,moe,type,n,state,dem,gop,lib,undecided,gap,weight
26550,Live Phone,false,TIPP,Wed Oct 26 2016 07:00:00 GMT-0500 (CDT),3.3,likely voters,1039,US,0.44246591687,0.41753408313,0.06,0.08000000000000007,0.020000000000000018,69.71252961285292
26549,Internet,false,YouGov,Wed Oct 26 2016 19:00:00 GMT-0500 (CDT),4.3,likely voters,994,AZ,0.40901514411,0.45098485589,0.04,0.10000000000000005,-0.020000000000000018,68.73616426638685
26548,Internet,false,YouGov,Wed Oct 26 2016 19:00:00 GMT-0500 (CDT),4.1,likely voters,992,NC,0.46901514411,0.46098485589,0.03,0.04000000000000001,0.02999999999999997,68.71610533613251
26547,Internet,false,YouGov,Wed Oct 26 2016 19:00:00 GMT-0500 (CDT),3.7,likely voters,1091,PA,0.46901514411,0.41098485589,0.05,0.06999999999999999,0.07999999999999996,69.66349822494479
26546,Internet,false,YouGov,Wed Oct 26 2016 19:00:00 GMT-0500 (CDT),4.1,likely voters,997,CO,0.40901514411,0.40098485589,0.07,0.12000000000000005,0.02999999999999997,68.76617711332312
26545,Live Phone,false,Marist College,Tue Oct 25 2016 07:00:00 GMT-0500 (CDT),3.5,likely voters,780,NC,0.47170895636,0.40829104363999996,0.08,0.02,0.06,67.09955523535598
26544,Live Phone,false,Marist College,Tue Oct 25 2016 07:00:00 GMT-0500 (CDT),3.5,likely voters,779,FL,0.45170895636,0.43829104364,0.05,0.02,0.010000000000000009,67.08662890062647
26543,Live Phone,false,Siena College,Tue Oct 25 2016 19:00:00 GMT-0500 (CDT),3.4,likely voters,814,FL,0.42,0.46,0.04,0.08000000000000003,-0.040000000000000036,67.58243311091634
26542,Live Phone,false,ABC News|Washington Post|Abt SRBI|Langer Research Associates,Wed Oct 26 2016 07:00:00 GMT-0500 (CDT),3,likely voters,1160,US,0.46,0.45,0.04,0.050000000000000024,0.010000000000000009,70.58664793411913
26539,Live Phone,false,Muhlenberg College,Sat Oct 22 2016 19:00:00 GMT-0500 (CDT),5.5,likely voters,420,PA,0.45,0.39,0.08,0.08000000000000003,0.06,60.77751551841204
26537,Internet,false,SurveyMonkey,Sun Oct 23 2016 19:00:00 GMT-0500 (CDT),5,likely voters,479,AL,0.36,0.53,0.06,0.04999999999999999,-0.17000000000000004,60.93986071593839
26536,Live Phone,true,Victory Phones Live|Data Orbital (R),Wed Oct 26 2016 07:00:00 GMT-0500 (CDT),4.12,likely voters,550,AZ,0.4,0.42,0.05,0.08,-0.019999999999999962,30.7793694407405
26535,Internet,false,Sacramento State,Sun Oct 09 2016 19:00:00 GMT-0500 (CDT),7,likely voters,622,CA,0.61,0.25,0.04,0.08,0.36,62.75892364178816
26533,Internet,false,CVOTER International,Sat Oct 22 2016 19:00:00 GMT-0500 (CDT),5,likely voters,1363,US,0.49,0.47,-1,0.040000000000000036,0.020000000000000018,71.77521491420943
26530,Internet,false,Saint Leo University Polling Institute,Sun Oct 23 2016 19:00:00 GMT-0500 (CDT),3,likely voters,1050,US,0.45,0.34,0.07,0.14,0.10999999999999999,69.04624125167045
