electors,percentage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0.000002
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0.000002
92,0
93,0
94,0.000002
95,0
96,0.000002
97,0
98,0
99,0.000002
100,0
101,0
102,0.000002
103,0
104,0
105,0.000004
106,0.000002
107,0.000002
108,0
109,0.000006
110,0
111,0.000004
112,0
113,0
114,0.000006
115,0
116,0.000002
117,0.000006
118,0.000004
119,0.000004
120,0.000002
121,0.000004
122,0.000004
123,0.000004
124,0.000012
125,0.00001
126,0.000006
127,0.000008
128,0.00001
129,0.000014
130,0.000002
131,0.000018
132,0.000014
133,0.000014
134,0.000016
135,0.000012
136,0.00002
137,0.000032
138,0.000024
139,0.000018
140,0.000022
141,0.000042
142,0.000024
143,0.000032
144,0.000046
145,0.000048
146,0.000032
147,0.00004
148,0.000044
149,0.000048
150,0.000046
151,0.000068
152,0.00006
153,0.000054
154,0.000062
155,0.000078
156,0.000076
157,0.00007
158,0.000086
159,0.000108
160,0.0001
161,0.000102
162,0.000106
163,0.00012
164,0.000114
165,0.000118
166,0.000144
167,0.000114
168,0.000144
169,0.000164
170,0.000186
171,0.000148
172,0.000178
173,0.000194
174,0.000194
175,0.000188
176,0.000198
177,0.00026
178,0.000252
179,0.000222
180,0.000294
181,0.00028
182,0.000294
183,0.000336
184,0.000316
185,0.000336
186,0.000346
187,0.000368
188,0.000378
189,0.000358
190,0.00045
191,0.000458
192,0.000452
193,0.000452
194,0.000464
195,0.000536
196,0.00053
197,0.00061
198,0.000632
199,0.00064
200,0.00062
201,0.000618
202,0.000634
203,0.000658
204,0.000726
205,0.000792
206,0.000798
207,0.000832
208,0.000966
209,0.001042
210,0.000972
211,0.000942
212,0.000986
213,0.001138
214,0.001118
215,0.001096
216,0.001202
217,0.00121
218,0.001244
219,0.001418
220,0.001486
221,0.001388
222,0.001492
223,0.00148
224,0.001496
225,0.00162
226,0.001688
227,0.001712
228,0.001932
229,0.001994
230,0.002014
231,0.002034
232,0.002096
233,0.00215
234,0.00211
235,0.002314
236,0.002328
237,0.002376
238,0.002574
239,0.002616
240,0.002594
241,0.002768
242,0.002812
243,0.002938
244,0.002924
245,0.003132
246,0.00323
247,0.003232
248,0.003514
249,0.003592
250,0.003658
251,0.003808
252,0.003662
253,0.003916
254,0.003986
255,0.004136
256,0.004234
257,0.004382
258,0.004452
259,0.004444
260,0.004594
261,0.004824
262,0.00486
263,0.00477
264,0.005082
265,0.005114
266,0.005184
267,0.005292
268,0.005556
269,0.005528
270,0.005672
271,0.005838
272,0.00576
273,0.006196
274,0.00616
275,0.00632
276,0.006312
277,0.006576
278,0.006508
279,0.006912
280,0.007146
281,0.006994
282,0.007126
283,0.007116
284,0.007282
285,0.007424
286,0.007502
287,0.007496
288,0.00767
289,0.007576
290,0.007706
291,0.007796
292,0.007948
293,0.007856
294,0.008112
295,0.008214
296,0.00811
297,0.008676
298,0.008282
299,0.008716
300,0.008354
301,0.00862
302,0.00862
303,0.008718
304,0.00859
305,0.008594
306,0.008566
307,0.008348
308,0.008822
309,0.009222
310,0.008994
311,0.008736
312,0.0087
313,0.008608
314,0.008918
315,0.008816
316,0.008744
317,0.008634
318,0.008854
319,0.008918
320,0.009072
321,0.008684
322,0.0086
323,0.008578
324,0.008386
325,0.008518
326,0.008546
327,0.008442
328,0.00847
329,0.00823
330,0.008398
331,0.008184
332,0.00811
333,0.00793
334,0.007826
335,0.007756
336,0.007522
337,0.007872
338,0.00759
339,0.007398
340,0.007236
341,0.007226
342,0.007082
343,0.007012
344,0.006692
345,0.00667
346,0.006576
347,0.006406
