date,avgElectors,calledElectors,probability,iterations,recounts,ties,demWinPop,gopWinPop,demWinPopLoseEC,gopWinPopLoseEC,demLandslide,gopLandslide
1468393200000,322.0343,347,0.72206,50000,0.00066,0.00352,0.76814,0.23185999999999996,0.0635,0.01742,0.15224,0.0065
1468306800000,321.96694,347,0.71936,50000,0.00072,0.00304,0.7673,0.23270000000000002,0.06362,0.01568,0.15376,0.00638
1468220400000,317.69414,347,0.69284,50000,0.0004,0.00326,0.74844,0.25156,0.0705,0.0149,0.14598,0.0086
1468134000000,321.07568,347,0.71204,50000,0.00052,0.00312,0.75694,0.24306000000000005,0.06154,0.01664,0.15484,0.00796
1468047600000,323.71876,341,0.71768,50000,0.00028,0.0024,0.76474,0.23526000000000002,0.06256,0.0155,0.16582,0.00872
1467961200000,321.37014,341,0.70706,50000,0.00026,0.00236,0.75532,0.24468,0.06288,0.01462,0.1605,0.00876
1467874800000,321.4939,341,0.70704,50000,0.0003,0.0023,0.75442,0.24558000000000002,0.06146,0.01408,0.16464,0.0093
1467788400000,321.84564,341,0.70758,50000,0.0003,0.00234,0.75586,0.24414000000000002,0.06246,0.01418,0.16332,0.00904
1467702000000,321.58758,341,0.7073,50000,0.00022,0.00206,0.75146,0.24853999999999998,0.06002,0.01586,0.1658,0.00992
1467615600000,322.74536,347,0.70926,50000,0.00034,0.0024,0.75768,0.24231999999999998,0.06294,0.01452,0.1705,0.00962
1467529200000,323.92128,347,0.71318,50000,0.00022,0.00206,0.76412,0.23587999999999998,0.06408,0.01314,0.17576,0.00904
1467442800000,324.60026,347,0.71298,50000,0.00036,0.00192,0.76248,0.23751999999999995,0.06244,0.01294,0.18248,0.00998
1467356400000,323.5594,347,0.70986,50000,0.00036,0.0023,0.75406,0.24594000000000005,0.06,0.0158,0.17486,0.01116
1467270000000,323.517925,347,0.70845,40000,0.0004,0.001925,0.75035,0.24965000000000004,0.057125,0.015225,0.17885,0.011225
1467183600000,323.420775,347,0.708275,40000,0.00035,0.002025,0.751,0.249,0.057775,0.01505,0.178825,0.0119
1467097200000,324.111,347,0.7071,40000,0.000325,0.002075,0.753825,0.24617500000000003,0.060825,0.0141,0.18345,0.0107
1467010800000,327.630175,347,0.749875,40000,0.0002,0.00235,0.7615,0.23850000000000005,0.0356,0.023975,0.1906,0.01215
1466924400000,327.7183,347,0.74895,40000,0.0003,0.001675,0.7582,0.24180000000000001,0.0356,0.02635,0.19875,0.0126
1466838000000,326.4306,347,0.7458,40000,0.00015,0.0019,0.75285,0.24714999999999998,0.033075,0.026025,0.194,0.01305
1466751600000,325.57365,347,0.7382,40000,0.000275,0.002175,0.748925,0.25107500000000005,0.036375,0.02565,0.1927,0.013225
1466665200000,327.457375,347,0.749975,40000,0.000375,0.002275,0.75375,0.24624999999999997,0.032175,0.0284,0.201,0.0127
1466578800000,327.076225,347,0.748225,40000,0.000425,0.00155,0.747975,0.25202500000000005,0.03075,0.031,0.2013,0.014225
1466492400000,327.50035,347,0.749525,40000,0.0004,0.002325,0.750325,0.24967499999999998,0.0305,0.0297,0.203325,0.013675
1466406000000,328.073675,347,0.75505,40000,0.000225,0.002125,0.753025,0.24697499999999994,0.028925,0.03095,0.1998,0.014575
1466319600000,321.650075,347,0.7057,40000,0.000275,0.00175,0.734125,0.265875,0.047975,0.01955,0.190375,0.0154
1466233200000,321.46275,347,0.6963,40000,0.000475,0.002575,0.7307,0.2693,0.053,0.0186,0.1933,0.018325
1466146800000,321.229225,347,0.695675,40000,0.00035,0.0021,0.7312,0.26880000000000004,0.05255,0.017025,0.194875,0.0178
1466060400000,322.333675,347,0.70075,40000,0.000475,0.002225,0.73405,0.26595,0.051525,0.018225,0.20045,0.017325
1465974000000,320.94945,347,0.69375,40000,0.000325,0.0024,0.728125,0.271875,0.052675,0.0183,0.197775,0.01835
1465887600000,320.415225,347,0.691125,40000,0.000675,0.002525,0.724,0.276,0.052475,0.0196,0.198975,0.0197
1465801200000,319.93175,347,0.689175,40000,0.000625,0.002325,0.72235,0.27764999999999995,0.052625,0.01945,0.196575,0.0205
1465714800000,318.154175,347,0.6853,40000,0.000475,0.002175,0.71255,0.28745,0.04885,0.0216,0.19215,0.02205
1465628400000,316.71275,332,0.67845,40000,0.000575,0.002375,0.70625,0.29374999999999996,0.04965,0.02185,0.188625,0.023525
1465542000000,317.448575,347,0.680475,40000,0.00055,0.002125,0.7066,0.2934,0.046425,0.0203,0.199175,0.025975
1465455600000,317.158875,332,0.6809,40000,0.000325,0.00225,0.70295,0.29705000000000004,0.0452,0.02315,0.19315,0.026275
1465369200000,316.8317,347,0.676675,40000,0.0004,0.0025,0.69855,0.30145,0.04535,0.023475,0.19045,0.0275
1465282800000,315.625825,332,0.674175,40000,0.00055,0.00205,0.693275,0.306725,0.0443,0.0252,0.1912,0.028425
1465196400000,316.51185,347,0.677275,40000,0.000475,0.00215,0.6961,0.30389999999999995,0.0434,0.024575,0.1954,0.0293
1465110000000,313.727525,332,0.6686,40000,0.0006,0.002425,0.683025,0.316975,0.040375,0.02595,0.188975,0.030925
1465023600000,315.895125,332,0.6877,40000,0.00035,0.00145,0.68705,0.31294999999999995,0.031525,0.032175,0.19475,0.03305
1464937200000,316.359725,347,0.689875,40000,0.0004,0.0013,0.6912,0.30879999999999996,0.032575,0.03125,0.19715,0.033625
1464850800000,314.99355,332,0.683425,40000,0.00025,0.0022,0.6845,0.3155,0.03275,0.031675,0.19595,0.0328
1464764400000,315.7914,347,0.6866,40000,0.00025,0.0015,0.684375,0.31562500000000004,0.030525,0.03275,0.20295,0.0362
1464678000000,315.085375,332,0.686525,40000,0.000325,0.002025,0.685,0.31499999999999995,0.03165,0.033175,0.1957,0.03415
1464591600000,313.89745,347,0.6829,40000,0.00035,0.001825,0.67565,0.32435,0.02875,0.036,0.1901,0.036175
1464505200000,313.28595,332,0.678325,40000,0.000375,0.002,0.66985,0.33015000000000005,0.0291,0.037575,0.191825,0.039125
1464418800000,313.668425,347,0.676275,40000,0.0003,0.002125,0.672725,0.327275,0.030525,0.034075,0.19965,0.0405
1464332400000,313.708425,332,0.677125,40000,0.00035,0.001825,0.67025,0.32975,0.029575,0.03645,0.203675,0.041325
1464246000000,314.165525,347,0.680025,40000,0.0004,0.0017,0.673825,0.326175,0.028775,0.034975,0.204625,0.04335
1464159600000,314.505125,332,0.678425,40000,0.000375,0.001875,0.675,0.32499999999999996,0.030025,0.03345,0.2055,0.0443
1464073200000,315.2646,347,0.68265,40000,0.000325,0.001875,0.677925,0.322075,0.029575,0.0343,0.209825,0.041775
1463986800000,315.00585,347,0.678075,40000,0.00025,0.0022,0.6747,0.32530000000000003,0.03045,0.033825,0.212075,0.044125
1463900400000,316.65175,347,0.683425,40000,0.00035,0.002175,0.6816,0.3184,0.030875,0.0327,0.215225,0.041875
1463814000000,318.194075,347,0.68225,40000,0.00045,0.001725,0.69635,0.30365,0.04065,0.02655,0.235175,0.04035
1463727600000,318.394075,347,0.68355,40000,0.000275,0.002075,0.69535,0.30465,0.0379,0.0261,0.240125,0.0412
1463641200000,319.392425,347,0.684775,40000,0.000325,0.001775,0.69785,0.30215000000000003,0.03845,0.025375,0.246325,0.040925
1463554800000,319.5862,347,0.68665,40000,0.0004,0.00185,0.70355,0.29645,0.0409,0.024,0.249025,0.0415
1463468400000,321.600475,347,0.6928,40000,0.000375,0.00155,0.7096,0.2904,0.0403,0.0235,0.25585,0.038975
1463382000000,324.144875,347,0.703675,40000,0.000175,0.0017,0.718025,0.281975,0.038175,0.023825,0.2635,0.03635
1463295600000,325.1987,347,0.702825,40000,0.000375,0.001925,0.7295,0.27049999999999996,0.04595,0.019275,0.278625,0.0337
1463209200000,326.372,347,0.7045,40000,0.000525,0.001925,0.7319,0.2681,0.046,0.0186,0.292275,0.03645
1463122800000,326.894525,347,0.707225,40000,0.000375,0.002075,0.7372,0.26280000000000003,0.0491,0.019125,0.2932,0.035825
1463036400000,326.47755,347,0.705575,40000,0.000275,0.001625,0.73235,0.26765000000000005,0.04545,0.018675,0.2914,0.035
1462950000000,326.2011,347,0.70285,40000,0.00045,0.00155,0.73095,0.26905,0.04575,0.01765,0.290975,0.0377
1462863600000,326.646225,347,0.70495,40000,0.0004,0.002025,0.7326,0.26739999999999997,0.0463,0.01865,0.2938,0.037375
1462777200000,327.0093,347,0.706375,40000,0.0003,0.002125,0.732375,0.267625,0.045275,0.019275,0.29475,0.03915
1462690800000,326.548075,347,0.7024,40000,0.000475,0.0016,0.730225,0.269775,0.0466,0.018775,0.296625,0.040775
1462604400000,328.53575,347,0.7153,40000,0.00045,0.001525,0.730075,0.26992499999999997,0.035875,0.0211,0.305575,0.041725
1462518000000,329.193475,347,0.71475,40000,0.000425,0.0018,0.733025,0.26697499999999996,0.040175,0.0219,0.3116,0.03995
1462431600000,328.365825,347,0.71415,40000,0.000325,0.001525,0.729575,0.270425,0.0384,0.022975,0.308825,0.042875
