electors,percentage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0.000002
14,0
15,0
16,0
17,0
18,0
19,0
20,0.000004
21,0.000002
22,0
23,0
24,0
25,0
26,0
27,0.000004
28,0
29,0
30,0
31,0.000004
32,0.000006
33,0
34,0.000008
35,0.000006
36,0
37,0.000004
38,0.000002
39,0.000004
40,0
41,0.000008
42,0.000006
43,0.000004
44,0.000008
45,0.000004
46,0.000006
47,0.000008
48,0.000004
49,0.000014
50,0.000008
51,0.000006
52,0.000014
53,0.000008
54,0.000012
55,0.000002
56,0.000026
57,0.00001
58,0.00002
59,0.000014
60,0.000022
61,0.000018
62,0.000012
63,0.000018
64,0.00002
65,0.000018
66,0.000008
67,0.000036
68,0.000018
69,0.000018
70,0.000036
71,0.000038
72,0.000028
73,0.000026
74,0.000052
75,0.00004
76,0.000042
77,0.000048
78,0.000048
79,0.00004
80,0.00005
81,0.000066
82,0.000058
83,0.000072
84,0.000076
85,0.000062
86,0.000058
87,0.000074
88,0.00006
89,0.000046
90,0.000082
91,0.000082
92,0.000058
93,0.000074
94,0.000074
95,0.000098
96,0.000068
97,0.000108
98,0.000092
99,0.000106
100,0.000108
101,0.000096
102,0.000114
103,0.000132
104,0.000126
105,0.00014
106,0.000146
107,0.00015
108,0.00014
109,0.000118
110,0.00018
111,0.000146
112,0.000156
113,0.000174
114,0.000154
115,0.00018
116,0.000174
117,0.000144
118,0.000144
119,0.000194
120,0.000212
121,0.000176
122,0.000242
123,0.000212
124,0.000224
125,0.00025
126,0.000276
127,0.000234
128,0.000228
129,0.000302
130,0.000304
131,0.000288
132,0.000304
133,0.000352
134,0.00032
135,0.00032
136,0.00039
137,0.000324
138,0.000462
139,0.00043
140,0.000422
141,0.000464
142,0.000512
143,0.00051
144,0.000414
145,0.000596
146,0.00056
147,0.000604
148,0.000558
149,0.00057
150,0.000624
151,0.000644
152,0.000662
153,0.000692
154,0.000752
155,0.00076
156,0.00075
157,0.000716
158,0.000842
159,0.000842
160,0.000938
161,0.001
162,0.00093
163,0.001038
164,0.000964
165,0.001342
166,0.001096
167,0.001148
168,0.001202
169,0.00113
170,0.001362
171,0.001228
172,0.001324
173,0.001242
174,0.001388
175,0.001546
176,0.001382
177,0.001518
178,0.001374
179,0.001646
180,0.001696
181,0.001738
182,0.001658
183,0.001544
184,0.001768
185,0.00166
186,0.002128
187,0.00189
188,0.001854
189,0.001956
190,0.00189
191,0.002134
192,0.002068
193,0.002216
194,0.002026
195,0.002078
196,0.002386
197,0.002186
198,0.00208
199,0.002084
200,0.002294
201,0.002376
202,0.0025
203,0.002528
204,0.002364
205,0.002442
206,0.002518
207,0.002628
208,0.002366
209,0.002614
210,0.002836
211,0.00251
212,0.002734
213,0.00277
214,0.00242
215,0.00266
216,0.003156
217,0.002854
218,0.00267
219,0.002928
220,0.0028
221,0.0026
222,0.003114
223,0.0029
224,0.002658
225,0.002886
226,0.003548
227,0.002896
228,0.002896
229,0.002986
230,0.0029
231,0.003006
232,0.003548
233,0.002976
234,0.002798
235,0.003238
236,0.003446
237,0.002878
238,0.00315
239,0.003434
240,0.003006
241,0.003138
242,0.003668
243,0.003026
244,0.002874
245,0.003968
246,0.0035
247,0.002934
248,0.003598
249,0.00389
250,0.00304
251,0.003578
252,0.00352
253,0.003142
254,0.00311
255,0.004402
256,0.003442
257,0.003088
258,0.003334
259,0.004036
260,0.003298
261,0.00386
262,0.003518
263,0.003148
264,0.003222
265,0.004386
266,0.003308
267,0.003228
268,0.003496
269,0.003718
270,0.003432
271,0.00372
272,0.003188
273,0.003418
274,0.003438
275,0.004586
276,0.00341
277,0.003168
278,0.003124
279,0.004114
280,0.003692
281,0.004228
282,0.002822
283,0.00295
284,0.003056
285,0.004324
286,0.003264
287,0.003298
288,0.003008
289,0.002916
290,0.00356
291,0.003514
292,0.002968
293,0.00294
294,0.00347
295,0.002568
296,0.00361
297,0.003078
298,0.002788
299,0.002918
300,0.00375
301,0.002396
302,0.002848
303,0.003458
304,0.002784
305,0.002822
306,0.003106
307,0.002598
308,0.003048
309,0.00313
310,0.002326
311,0.002912
312,0.003302
313,0.00243
314,0.003326
315,0.002572
316,0.002152
