date,avgElectors,calledElectors,probability,iterations,recounts,ties,demWinPop,gopWinPop,demWinPopLoseEC,gopWinPopLoseEC,demLandslide,gopLandslide
1469553780657,302.335462,332,0.690666,500000,0.00134,0.00416,0.705648,0.29435199999999995,0.05164,0.036658,0.109082,0.0105
1469170800000,306.24426,332,0.6965,100000,0.00139,0.00412,0.72196,0.27803999999999995,0.05562,0.03016,0.14382,0.01214
1469084400000,306.29334,332,0.69639,100000,0.00119,0.00387,0.71972,0.28028,0.05429,0.03096,0.1481,0.01419
1468998000000,304.67418,332,0.68705,100000,0.00136,0.00385,0.70716,0.29284,0.05323,0.03312,0.14426,0.01568
1468911600000,300.96446,332,0.66743,100000,0.00113,0.00427,0.68274,0.31726,0.05135,0.03604,0.13552,0.02105
1468825200000,302.43959,332,0.67267,100000,0.00115,0.00386,0.68696,0.31304,0.04976,0.03547,0.14682,0.02219
1468738800000,302.72438,332,0.67402,100000,0.00135,0.00392,0.68869,0.31131,0.05052,0.03585,0.14828,0.02148
1468652400000,308.90186,332,0.69617,100000,0.00125,0.00343,0.72413,0.27586999999999995,0.05693,0.02897,0.1767,0.01734
1468566000000,319.86596,332,0.75398,100000,0.00124,0.00371,0.79144,0.20855999999999997,0.05777,0.02031,0.20645,0.00795
1468479600000,315.02364,332,0.72998,100000,0.00125,0.00367,0.7605,0.23950000000000005,0.05664,0.02612,0.19254,0.01118
1468393200000,314.66124,332,0.7255,100000,0.00118,0.00348,0.75651,0.24348999999999998,0.05633,0.02532,0.19495,0.01181
1468306800000,307.59154,332,0.69771,100000,0.00113,0.00394,0.7247,0.2753,0.05723,0.03024,0.15988,0.01406
1468220400000,308.41443,332,0.70152,100000,0.00134,0.00378,0.72936,0.27064,0.05716,0.02932,0.16632,0.01441
1468134000000,308.84604,332,0.70075,100000,0.00138,0.00373,0.72899,0.27101,0.05718,0.02894,0.17299,0.01548
1468047600000,308.87773,332,0.70108,100000,0.0013,0.00381,0.72835,0.27164999999999995,0.05602,0.02875,0.17521,0.01668
1467961200000,308.21898,332,0.6958,100000,0.00113,0.00395,0.72418,0.27581999999999995,0.05815,0.02977,0.17159,0.01581
1467874800000,307.0199,332,0.69268,100000,0.00125,0.00392,0.7202,0.27980000000000005,0.05859,0.03107,0.16617,0.01547
1467788400000,310.08749,332,0.70576,100000,0.00125,0.00343,0.73494,0.26505999999999996,0.05764,0.02846,0.18034,0.01546
1467702000000,308.12066,332,0.69265,100000,0.00135,0.0038,0.71938,0.28062,0.05709,0.03036,0.18101,0.01898
1467615600000,308.03582,332,0.69143,100000,0.0013,0.00377,0.71887,0.28113,0.05796,0.03052,0.1821,0.01929
1467529200000,307.79087,332,0.68993,100000,0.00122,0.00389,0.71876,0.28124000000000005,0.05807,0.02924,0.18357,0.02067
1467442800000,308.06558,332,0.69133,100000,0.00114,0.00379,0.71852,0.28147999999999995,0.05816,0.03097,0.18547,0.02037
1467356400000,308.27467,332,0.69383,100000,0.00126,0.00394,0.72212,0.27788,0.05825,0.02996,0.17955,0.01872
1467270000000,315.6712,332,0.73124,50000,0.00136,0.00418,0.76408,0.23592000000000002,0.05878,0.02594,0.20388,0.01196
1467183600000,314.95134,332,0.72856,50000,0.00128,0.0041,0.76414,0.23585999999999996,0.06106,0.02548,0.20242,0.0113
1467097200000,315.23316,332,0.72848,50000,0.00174,0.00354,0.7615,0.23850000000000005,0.05914,0.02612,0.20354,0.01166
1467010800000,316.64812,332,0.73164,50000,0.0012,0.0036,0.76684,0.23316000000000003,0.05996,0.02476,0.21626,0.01252
1466924400000,316.61204,332,0.73258,50000,0.0015,0.00384,0.76814,0.23185999999999996,0.06096,0.0254,0.21634,0.01318
