state,probability
AL,0.000004
AK,0.17225400000013094
AZ,0.46575600000042444
AR,0.0011440000000000148
CA,0.9999999999870809
CO,0.9001159999897533
CT,0.9998199999870857
DE,0.999993999987081
DC,0.9999999999870809
FL,0.8198359999919013
GA,0.31436400000027304
HI,0.9999999999870809
ID,0.0001359999999999998
IL,0.9998239999870856
IN,0.029531999999991208
IA,0.36045600000031913
KS,0.0031519999999999335
KY,0.000002
LA,0.0009140000000000092
ME,0.9840139999875086
MD,0.9999999999870809
MA,0.9999999999870809
MI,0.9821639999875581
MN,0.9825439999875479
MS,0.0039499999999998755
MO,0.0744040000000331
MT,0.00004400000000000001
NE,0.0001779999999999997
NV,0.7495999999937805
NH,0.9561819999882533
NJ,0.9950699999872128
NM,0.9991399999871039
NY,0.9999999999870809
NC,0.7512879999937353
ND,0.010634000000000763
OH,0.5172199999999979
OK,0
OR,0.9939659999872423
PA,0.9625999999880815
RI,0.9999999999870809
SC,0.17714600000013583
SD,0.06205200000002075
TN,0.004041999999999888
TX,0.1243980000000831
UT,0.1974160000001561
VT,0.9999999999870809
VA,0.9920379999872939
WA,0.9998439999870851
WV,0.00037399999999999917
WI,0.9576919999882129
WY,0
