electors,percentage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0.000002
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0.000002
84,0
85,0
86,0
87,0
88,0
89,0.000002
90,0
91,0.000002
92,0
93,0.000004
94,0
95,0
96,0.000002
97,0
98,0
99,0
100,0.000004
101,0
102,0
103,0.000006
104,0
105,0.000002
106,0.000008
107,0.000002
108,0.000012
109,0.000002
110,0.000006
111,0.000002
112,0.000004
113,0.000014
114,0.000006
115,0.00001
116,0.00001
117,0.000006
118,0.000008
119,0.000014
120,0.00002
121,0.000012
122,0.000018
123,0.000016
124,0.00002
125,0.00002
126,0.00003
127,0.000022
128,0.000022
129,0.000034
130,0.000026
131,0.000038
132,0.000028
133,0.000018
134,0.000036
135,0.00004
136,0.000036
137,0.000054
138,0.000042
139,0.000056
140,0.000056
141,0.000076
142,0.000052
143,0.00005
144,0.000062
145,0.000086
146,0.000092
147,0.00007
148,0.000072
149,0.000096
150,0.0001
151,0.000088
152,0.000086
153,0.000108
154,0.000096
155,0.000106
156,0.00013
157,0.00012
158,0.000148
159,0.000154
160,0.000168
161,0.000174
162,0.000154
163,0.000218
164,0.000204
165,0.000188
166,0.00019
167,0.000216
168,0.000206
169,0.000222
170,0.000236
171,0.000286
172,0.000326
173,0.0003
174,0.00031
175,0.000342
176,0.000314
177,0.000324
178,0.000366
179,0.000356
180,0.000384
181,0.000414
182,0.00045
183,0.000466
184,0.000406
185,0.000488
186,0.000526
187,0.00049
188,0.000492
189,0.00058
190,0.000586
191,0.000594
192,0.000616
193,0.00068
194,0.000652
195,0.000716
196,0.00079
197,0.000786
198,0.000778
199,0.000872
200,0.000888
201,0.00101
202,0.000918
203,0.001088
204,0.001004
205,0.001058
206,0.00102
207,0.00116
208,0.001122
209,0.00116
210,0.001246
211,0.001282
212,0.001324
213,0.001308
214,0.001378
215,0.001498
216,0.001396
217,0.001534
218,0.001658
219,0.001698
220,0.001712
221,0.001818
222,0.001832
223,0.001824
224,0.001936
225,0.002022
226,0.002146
227,0.002054
228,0.00216
229,0.002228
230,0.002222
231,0.002436
232,0.002282
233,0.00241
234,0.002476
235,0.00262
236,0.002656
237,0.002744
238,0.002776
239,0.00289
240,0.002912
241,0.003066
242,0.003208
243,0.003286
244,0.003382
245,0.003432
246,0.003426
247,0.003706
248,0.003464
249,0.003678
250,0.003772
251,0.00384
252,0.00398
253,0.004016
254,0.004046
255,0.00414
256,0.004354
257,0.004424
258,0.00456
259,0.004508
260,0.004684
261,0.00487
262,0.004838
263,0.004862
264,0.00512
265,0.00493
266,0.005392
267,0.005486
268,0.005566
269,0.00545
270,0.005628
271,0.005724
272,0.005842
273,0.005704
274,0.006194
275,0.006206
276,0.006192
277,0.006288
278,0.006208
279,0.006396
280,0.00634
281,0.006608
282,0.00667
283,0.006688
284,0.006562
285,0.006792
286,0.006924
287,0.006998
288,0.007218
289,0.007142
290,0.007298
291,0.007362
292,0.007246
293,0.007552
294,0.007496
295,0.007344
296,0.007486
297,0.00787
298,0.007792
299,0.00761
300,0.007728
301,0.00786
302,0.007676
303,0.00794
304,0.007854
305,0.0079
306,0.008016
307,0.008008
308,0.007986
309,0.007984
310,0.008102
311,0.008078
312,0.008152
313,0.008208
314,0.008304
315,0.00811
316,0.008074
317,0.008126
318,0.008082
319,0.008
320,0.00798
321,0.008046
322,0.00798
323,0.008016
324,0.007732
325,0.007758
326,0.007724
327,0.007788
328,0.007692
329,0.007632
330,0.007652
331,0.00752
332,0.007446
333,0.007594
334,0.00744
335,0.007308
336,0.007244
337,0.0071
338,0.007146
339,0.00712
340,0.00686
341,0.006812
342,0.006692
343,0.006566
344,0.006666
345,0.006456
