electors,percentage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.000002
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0.000002
28,0.000002
29,0.000002
30,0
31,0.000012
32,0.000002
33,0.000002
34,0.000006
35,0.000012
36,0
37,0
38,0.000016
39,0.000008
40,0.000004
41,0.000006
42,0.000006
43,0.000006
44,0.000002
45,0.000008
46,0.000008
47,0.000004
48,0.000006
49,0.000014
50,0.000022
51,0.00001
52,0.000006
53,0.000004
54,0.000016
55,0.000008
56,0.000016
57,0.000012
58,0.000026
59,0.00001
60,0.000012
61,0.000012
62,0.000012
63,0.000014
64,0.000016
65,0.000026
66,0.000026
67,0.00002
68,0.000022
69,0.000022
70,0.000022
71,0.00002
72,0.000018
73,0.000012
74,0.000032
75,0.000028
76,0.000034
77,0.000032
78,0.00004
79,0.000036
80,0.000026
81,0.000054
82,0.000024
83,0.000034
84,0.000046
85,0.000038
86,0.000046
87,0.000038
88,0.000048
89,0.000042
90,0.000034
91,0.000058
92,0.00003
93,0.000052
94,0.000062
95,0.00008
96,0.000034
97,0.000084
98,0.000106
99,0.000042
100,0.00008
101,0.00004
102,0.000078
103,0.000052
104,0.000096
105,0.000092
106,0.000084
107,0.00008
108,0.000092
109,0.000098
110,0.000162
111,0.00009
112,0.000114
113,0.00012
114,0.00012
115,0.000112
116,0.000132
117,0.00014
118,0.000078
119,0.000174
120,0.000166
121,0.000104
122,0.000142
123,0.000152
124,0.000168
125,0.000148
126,0.000188
127,0.00016
128,0.000126
129,0.000224
130,0.000168
131,0.000206
132,0.000228
133,0.00023
134,0.000218
135,0.000182
136,0.000284
137,0.000184
138,0.000272
139,0.000216
140,0.000254
141,0.000336
142,0.00032
143,0.000324
144,0.000218
145,0.000404
146,0.00042
147,0.000278
148,0.000336
149,0.000336
150,0.000462
151,0.000288
152,0.000382
153,0.000486
154,0.000416
155,0.00048
156,0.000388
157,0.000498
158,0.000488
159,0.000498
160,0.000558
161,0.000536
162,0.000632
163,0.00054
164,0.000494
165,0.0008
166,0.000658
167,0.000682
168,0.000666
169,0.000634
170,0.000726
171,0.000714
172,0.001122
173,0.000596
174,0.000826
175,0.001018
176,0.000728
177,0.001106
178,0.000738
179,0.00127
180,0.000964
181,0.001132
182,0.001128
183,0.000884
184,0.00119
185,0.00092
186,0.001614
187,0.001304
188,0.001216
189,0.001158
190,0.001134
191,0.001962
192,0.001106
193,0.001298
194,0.001256
195,0.00161
196,0.001686
197,0.001582
198,0.00132
199,0.001314
200,0.001906
201,0.00228
202,0.001352
203,0.001442
204,0.001676
205,0.001974
206,0.001836
207,0.00204
208,0.00136
209,0.00157
210,0.002412
211,0.002354
212,0.0016
213,0.00194
214,0.002318
215,0.001898
216,0.002312
217,0.002634
218,0.001654
219,0.001692
220,0.003034
221,0.002562
222,0.00181
223,0.00232
224,0.002312
225,0.00196
226,0.003116
227,0.002932
228,0.001606
229,0.002166
230,0.003612
231,0.002462
232,0.00218
233,0.002514
234,0.002374
235,0.002144
236,0.003666
237,0.002836
238,0.00167
239,0.003046
240,0.004058
241,0.00224
242,0.00269
243,0.00319
244,0.00271
245,0.002384
246,0.004238
247,0.002514
248,0.002124
249,0.00361
250,0.003784
251,0.002392
252,0.002922
253,0.003988
254,0.002308
255,0.003494
256,0.004208
257,0.002648
258,0.002168
259,0.004898
260,0.004366
261,0.002596
262,0.003588
263,0.003494
264,0.002882
265,0.003928
266,0.004102
267,0.001864
268,0.003038
269,0.005604
270,0.002884
271,0.002976
272,0.00318
273,0.004704
274,0.002896
275,0.005608
276,0.00255
277,0.002612
278,0.003486
279,0.006318
280,0.002786
281,0.00378
282,0.00326
283,0.00241
284,0.00397
285,0.005184
286,0.003054
287,0.00291
288,0.004602
289,0.004008
290,0.003978
291,0.004234
292,0.003106
293,0.003408
294,0.00478
295,0.004748
296,0.003066
297,0.004452
298,0.004484
299,0.003396
300,0.003952
301,0.003726
302,0.004794
303,0.004294
304,0.00548
305,0.002856
306,0.003716
307,0.003212
308,0.007534
309,0.003428
310,0.005024
311,0.002926
312,0.004002
313,0.00495
314,0.006304
315,0.003048
