date,avgElectors,calledElectors,probability,iterations,recounts,ties,demWinPop,gopWinPop,demWinPopLoseEC,gopWinPopLoseEC,demLandslide,gopLandslide
1468525109260,315.59191,347,0.694136,500000,0.00064,0.00374,0.73977,0.26022999999999996,0.063974,0.01834,0.136352,0.008686
1468523465498,315.502754,347,0.694116,500000,0.000642,0.003928,0.739698,0.26030200000000003,0.063942,0.01836,0.13541,0.008614
1468393200000,320.18792,347,0.70758,50000,0.0006,0.00272,0.76744,0.23256,0.07326,0.0134,0.15152,0.00606
1468306800000,321.82406,347,0.74142,50000,0.00034,0.00178,0.75618,0.24382000000000004,0.04018,0.02542,0.15096,0.00788
1468220400000,319.97446,341,0.73464,50000,0.00024,0.00242,0.74798,0.25202,0.04026,0.02692,0.14848,0.0078
1468134000000,318.9215,332,0.714,50000,0.00026,0.00194,0.74858,0.25142,0.05324,0.01866,0.14772,0.00908
1468047600000,319.21368,332,0.70966,50000,0.0004,0.0021,0.74648,0.25351999999999997,0.05436,0.01754,0.15768,0.00966
1467961200000,319.62078,347,0.7118,50000,0.0002,0.00192,0.7486,0.25139999999999996,0.05404,0.01724,0.15676,0.00942
1467874800000,325.04982,358,0.74014,50000,0.00024,0.00212,0.75644,0.24356,0.03924,0.02294,0.16228,0.00854
1467788400000,323.65616,358,0.7323,50000,0.00028,0.0022,0.74844,0.25156,0.04028,0.02414,0.16102,0.00926
1467702000000,324.0265,358,0.7291,50000,0.00038,0.00224,0.74754,0.25246,0.04184,0.0234,0.17226,0.01048
1467615600000,323.29174,358,0.7288,50000,0.0003,0.00154,0.7463,0.25370000000000004,0.04098,0.02348,0.16916,0.01046
1467529200000,324.58224,358,0.73102,50000,0.0003,0.00186,0.7498,0.2502,0.04116,0.02238,0.1719,0.01108
1467442800000,325.6312,358,0.73426,50000,0.00022,0.00212,0.75288,0.24712,0.04156,0.02294,0.17542,0.0116
1467356400000,326.91308,358,0.7432,50000,0.0003,0.00214,0.7613,0.23870000000000002,0.04084,0.02274,0.174,0.00918
1467270000000,327.72705,358,0.7415,40000,0.000325,0.001725,0.770875,0.22912500000000002,0.047675,0.0183,0.181675,0.00795
1467183600000,328.388325,358,0.7456,40000,0.000175,0.00205,0.775375,0.22462499999999996,0.047775,0.018,0.1819,0.006775
1467097200000,327.47165,358,0.73835,40000,0.000175,0.001825,0.766075,0.23392500000000005,0.046625,0.0189,0.188425,0.00925
1467010800000,327.976725,358,0.7346,40000,0.00035,0.001825,0.765375,0.23462499999999997,0.048,0.017225,0.1921,0.01095
1466924400000,330.940775,358,0.76305,40000,0.0003,0.001725,0.771875,0.22812500000000002,0.0337,0.024875,0.2046,0.0092
1466838000000,330.85475,358,0.760925,40000,0.0003,0.00175,0.770625,0.229375,0.0345,0.0248,0.2058,0.011025
1466751600000,330.329675,358,0.75865,40000,0.0004,0.0021,0.76595,0.23404999999999998,0.031775,0.024475,0.206525,0.01155
1466665200000,325.11505,347,0.748275,40000,0.000425,0.002275,0.75275,0.24724999999999997,0.03235,0.027875,0.189825,0.012925
1466578800000,325.944625,347,0.75115,40000,0.000175,0.00185,0.754225,0.24577499999999997,0.03235,0.029275,0.192275,0.01235
1466492400000,323.66095,332,0.7328,40000,0.00045,0.002225,0.746225,0.253775,0.0402,0.026775,0.187175,0.013175
