incumbent,dem,gop,abbr,district,total
R,48278,103758,AL,1,152234
R,54692,113103,AL,2,167952
R,52816,103558,AL,3,156620
R,0,132831,AL,4,134752
R,0,115338,AL,5,154974
N,42291,135945,AL,6,178449
D,133687,0,AL,7,135899
R,114602,142572,AK,0,279741
D,97391,87723,AZ,1,185114
D,109547,109714,AZ,2,219365
D,58192,46185,AZ,3,104428
R,45179,122560,AZ,4,175179
R,54596,124867,AZ,5,179463
R,70198,129578,AZ,6,199776
N,54235,0,AZ,7,72454
R,0,128710,AZ,8,169776
D,88609,67841,AZ,9,162062
R,63555,124139,AR,1,196256
N,103477,123073,AR,2,237330
R,0,151630,AR,3,190935
N,87742,110789,AR,4,206131
R,84320,132052,CA,1,216372
D,163124,54400,CA,2,217524
D,79224,71036,CA,3,150260
R,0,211134,CA,4,211134
D,129613,0,CA,5,171148
D,97008,36448,CA,6,133456
D,92521,91066,CA,7,183587
R,37056,77480,CA,8,114536
D,63475,57729,CA,9,121204
R,55123,70582,CA,10,125705
N,117502,57160,CA,11,174662
D,160067,32197,CA,12,192264
D,168491,21940,CA,13,190431
D,114389,34757,CA,14,149146
D,99756,43150,CA,15,142906
D,46277,44943,CA,16,91220
D,134408,0,CA,17,134408
D,133060,63326,CA,18,196386
D,127788,0,CA,19,127788
D,106034,0,CA,20,141044
R,33470,45907,CA,21,79377
R,37289,96053,CA,22,133342
R,33726,100317,CA,23,134043
D,103228,95566,CA,24,198794
N,0,114072,CA,25,114072
D,87176,82653,CA,26,169829
D,75728,51852,CA,27,127580
D,91996,0,CA,28,120264
D,50096,17045,CA,29,67141
D,86568,45315,CA,30,131883
N,51622,48162,CA,31,99784
D,50353,34053,CA,32,84406
N,108331,74700,CA,33,183031
D,61621,0,CA,34,61621
N,62255,0,CA,35,62255
D,72682,61457,CA,36,134139
D,96787,18051,CA,37,114838
D,58192,40288,CA,38,98480
R,41906,91319,CA,39,133225
D,49379,0,CA,40,49379
D,46948,35936,CA,41,82884
R,38850,74540,CA,42,113390
D,69681,28521,CA,43,98202
D,59670,0,CA,44,68862
N,56819,106083,CA,45,162902
D,49738,33577,CA,46,83315
D,69091,54309,CA,47,123400
R,62713,112082,CA,48,174795
R,64981,98161,CA,49,163142
R,45302,111997,CA,50,157299
D,56373,25577,CA,51,81950
D,98826,92746,CA,52,191572
D,87104,60940,CA,53,148044
D,183281,80682,CO,1,278494
D,196300,149645,CO,2,345945
R,100364,163011,CO,3,281141
N,83727,185292,CO,4,286507
R,105673,157182,CO,5,262855
R,118847,143467,CO,6,276440
D,148225,120918,CO,7,269143
D,127430,78609,CT,1,217881
D,131294,80837,CT,2,227936
D,130009,69454,CT,3,209939
D,101401,88209,CT,4,198800
D,106256,92404,CT,5,213301
D,137251,85146,DE,0,231617
R,54976,165086,FL,1,235343
R,126096,123262,FL,2,249780
R,73910,148691,FL,3,228809
R,0,177887,FL,4,227253
D,112340,59237,FL,5,171577
R,99563,166254,FL,6,265817
R,73011,144474,FL,7,227164
R,93724,180728,FL,8,274513
D,93850,74963,FL,9,173878
