abbr,state,population_2015,population,registeredVoters,totalVoters,democratic,republican,other
AL,Alabama,4858979,2841195,2106698,2099819,813479,1266546,19794
AK,Alaska,738432,495731,327341,326197,123594,193841,8762
AZ,Arizona,6828065,2987451,2320851,2303838,1034707,1230111,39020
AR,Arkansas,2978204,1684240,1095958,1086617,422310,638017,26290
CA,California,39144818,17304091,13743177,13583083,8274473,5011781,296829
CO,Colorado,5456574,2637014,2422236,2401462,1288633,1073629,39200
CT,Connecticut,3590886,2104989,1644845,1646793,997773,629428,19592
DE,Delaware,945934,602317,415166,412616,255459,152374,4783
DC,District of Columbia,672228,426761,266871,265853,245800,17367,2686
FL,Florida,20271272,11247634,8456329,8412248,4282367,4046219,83662
GA,Georgia,10214860,5309342,3947848,3932158,1844123,2048759,39276
HI,Hawaii,1431603,691356,456064,453568,325871,120566,7131
ID,Idaho,1654930,863538,667499,658454,236440,403012,19002
IL,Illinois,12859995,7789500,5577509,5530179,3419348,2031179,79652
IN,Indiana,6619680,4514759,2805986,2756658,1374039,1345648,36971
IA,Iowa,3123899,2105531,1546453,1537123,828940,682379,25804
KS,Kansas,2911641,1749759,1264208,1238873,514765,699655,24453
KY,Kentucky,4425092,2906809,1861577,1827587,751985,1048462,27140
LA,Louisiana,4670724,2945618,1980377,1960761,782989,1148275,29497
ME,Maine,1329328,994153,746562,731163,421923,295273,13967
MD,Maryland,6006401,3428935,2661905,2631596,1629467,959862,42267
MA,Massachusetts,6794422,4220488,3102995,3081069,1904098,1108854,68117
MI,Michigan,9922576,7470764,5039080,5010606,2872579,2048639,89388
MN,Minnesota,5489594,3742238,2921498,2910369,1573354,1275409,61606
MS,Mississippi,2992333,1895583,1289939,1289939,554662,724597,10680
MO,Missouri,6083672,3795956,2929111,2929111,1441911,1445814,41386
MT,Montana,1032949,668085,497599,492750,232159,243882,16709
NE,Nebraska,1896190,1157345,811923,801281,333319,452979,14983
NV,Nevada,2890845,1207761,970019,967848,533736,412827,21285
NH,New Hampshire,1330608,958528,719403,710970,384826,316534,9610
NJ,New Jersey,8958013,5351669,3910220,3877407,2215422,1613207,48778
NM,New Mexico,2085109,1192990,833365,830158,472422,346832,10904
NY,New York,19795791,10816500,7722019,7640948,4804945,2752771,83232
NC,North Carolina,10042802,6226204,4353739,4310789,2142651,2128474,39664
ND,North Dakota,756927,0,321133,317738,141403,168887,7448
OH,Ohio,11613423,8287665,5773968,5721831,2940044,2677820,103967
OK,Oklahoma,3911338,2184092,1474694,1462661,502496,960165,0
OR,Oregon,4028977,2153914,1845251,1827864,1037291,738475,52098
PA,Pennsylvania,12802503,8755588,6059909,6015476,3276363,2655885,83228
RI,Rhode Island,1056298,701307,475428,471766,296571,165391,9804
SC,South Carolina,4896146,2580175,1941480,1920969,862449,1034896,23624
SD,South Dakota,858469,530462,387449,381975,170924,203054,7997
TN,Tennessee,6600299,3621633,2618238,2601982,1087437,1479178,35367
TX,Texas,27469114,11677018,8087791,8087791,3528633,4479328,79830
UT,Utah,2995919,1432525,971185,958996,327670,596030,35296
VT,Vermont,626042,454466,327301,325046,219262,98974,6810
VA,Virginia,8382993,4912971,3752858,3723260,1959532,1725005,38723
WA,Washington,7170351,3630118,3071587,3053261,1750848,1229216,73197
WV,West Virginia,1844128,1212117,736799,715123,303857,397466,13800
WI,Wisconsin,5771337,5641000,2983417,2983417,1677211,1262393,43813
WY,Wyoming,586107,244818,256035,254658,82868,164958,6832
