electors,percentage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0.000002
14,0
15,0
16,0
17,0
18,0
19,0
20,0.000008
21,0.000004
22,0
23,0.000004
24,0.000008
25,0.000004
26,0.000002
27,0.000002
28,0.000002
29,0
30,0
31,0.000008
32,0.00001
33,0.000004
34,0.000012
35,0.00002
36,0.000002
37,0.000006
38,0.00001
39,0.00001
40,0.000008
41,0.000004
42,0.000018
43,0.000008
44,0.000008
45,0.000016
46,0.000012
47,0.000022
48,0.000006
49,0.000016
50,0.00001
51,0.00001
52,0.000012
53,0.000012
54,0.000016
55,0.00003
56,0.000016
57,0.000022
58,0.00002
59,0.000028
60,0.000018
61,0.000026
62,0.000024
63,0.000032
64,0.000044
65,0.000038
66,0.000022
67,0.000052
68,0.000034
69,0.000026
70,0.000054
71,0.000054
72,0.000044
73,0.000052
74,0.000062
75,0.000048
76,0.000068
77,0.00005
78,0.00005
79,0.000054
80,0.000068
81,0.000064
82,0.000046
83,0.00007
84,0.000056
85,0.000086
86,0.000084
87,0.000104
88,0.000096
89,0.00007
90,0.00011
91,0.000108
92,0.000076
93,0.000098
94,0.000102
95,0.000074
96,0.000122
97,0.000118
98,0.0001
99,0.000126
100,0.000168
101,0.00013
102,0.000118
103,0.000166
104,0.00015
105,0.00012
106,0.000148
107,0.000144
108,0.00014
109,0.000152
110,0.000188
111,0.000184
112,0.000186
113,0.000166
114,0.000184
115,0.000166
116,0.000172
117,0.000262
118,0.000222
119,0.000258
120,0.000266
121,0.000202
122,0.000248
123,0.00023
124,0.000226
125,0.000242
126,0.000282
127,0.000242
128,0.00028
129,0.000344
130,0.000292
131,0.000328
132,0.000306
133,0.000318
134,0.000284
135,0.000348
136,0.000364
137,0.000288
138,0.0004
139,0.000396
140,0.00038
141,0.000326
142,0.000462
143,0.000434
144,0.000394
145,0.000486
146,0.000468
147,0.000468
148,0.00045
149,0.000518
150,0.000522
151,0.000502
152,0.00055
153,0.000616
154,0.000634
155,0.000636
156,0.00058
157,0.00061
158,0.000726
159,0.000662
160,0.000682
161,0.00073
162,0.000778
163,0.000686
164,0.000786
165,0.000952
166,0.000756
167,0.000814
168,0.000846
169,0.000806
170,0.000804
171,0.00103
172,0.00104
173,0.00089
174,0.000968
175,0.001062
176,0.001008
177,0.001036
178,0.001072
179,0.0011
180,0.001054
181,0.001148
182,0.001156
183,0.001118
184,0.00117
185,0.001162
186,0.0013
187,0.001292
188,0.001418
189,0.001272
190,0.001328
191,0.00136
192,0.001496
193,0.001284
194,0.001386
195,0.001352
196,0.001496
197,0.001684
198,0.00157
199,0.001492
200,0.001426
201,0.001534
202,0.001672
203,0.001828
204,0.001566
205,0.001554
206,0.00167
207,0.001972
208,0.001698
209,0.001742
210,0.00167
211,0.001652
212,0.001928
213,0.002134
214,0.00179
215,0.001728
216,0.001832
217,0.002106
218,0.001908
219,0.002132
220,0.00174
221,0.001854
222,0.002022
223,0.002628
224,0.001988
225,0.002014
226,0.00206
227,0.002216
228,0.002192
229,0.002384
230,0.00202
231,0.002136
232,0.002286
233,0.002704
234,0.002056
235,0.002204
236,0.002286
237,0.002336
238,0.002628
239,0.002692
240,0.002206
241,0.0023
242,0.002592
243,0.002732
244,0.002382
245,0.002652
246,0.002542
247,0.002446
248,0.002768
249,0.002864
250,0.0025
251,0.002536
252,0.00303
253,0.002638
254,0.002724
255,0.0027
256,0.002628
257,0.002772
258,0.003326
259,0.002792
260,0.0027
261,0.00289
262,0.00318
263,0.00291
264,0.003078
265,0.003142
266,0.00294
267,0.003202
268,0.003462
269,0.002838
270,0.002994
271,0.003276
272,0.003534
273,0.002956
274,0.003348
275,0.003176
276,0.003286
277,0.003496
278,0.00361
279,0.003246
280,0.003248
281,0.00375
282,0.00352
283,0.003726
284,0.003298
285,0.003564
286,0.003476
287,0.004072
288,0.003654
289,0.003502
290,0.003636
291,0.00388
292,0.00388
293,0.003702
294,0.004014
295,0.003558
296,0.004186
297,0.003816
298,0.003918
299,0.003908
300,0.004294
301,0.004164
302,0.003978
303,0.004572
304,0.003884
305,0.004542
306,0.004314
307,0.004314
308,0.003788
309,0.00494
310,0.004284
311,0.004668
312,0.004694
