abbr,state,population_2015,population,registeredVoters,totalVoters,democratic,republican,other
AL,Alabama,4858979,4822023,3162135,2074338,795696,1255925,22717
AK,Alaska,738432,731449,506434,300495,122640,164676,13179
AZ,Arizona,6828065,6553255,3725362,2306559,1025232,1233654,47673
AR,Arkansas,2978204,2949131,1618328,1069468,394409,647744,27315
CA,California,39144818,38041430,18245970,13055815,7854285,4839958,361572
CO,Colorado,5456574,5187582,3644344,2571846,1323102,1185243,63501
CT,Connecticut,3590886,3590347,2218663,1558993,905109,634899,18985
DE,Delaware,945934,917092,632417,413921,242584,165484,5853
DC,District of Columbia,672228,632323,483600,293764,267070,21381,5313
FL,Florida,20271272,19317568,11934446,8492175,4237756,4163447,90972
GA,Georgia,10214860,9919945,5428980,3908369,1773827,2078688,55854
HI,Hawaii,1431603,1392313,705668,434697,306658,121015,7024
ID,Idaho,1654930,1595728,895834,656742,212787,420911,23044
IL,Illinois,12859995,12875255,7520722,5251432,3019512,2135216,96704
IN,Indiana,6619680,6537334,4555257,2633143,1154275,1422872,55996
IA,Iowa,3123899,3074186,2197914,1582180,822544,730617,29019
KS,Kansas,2911641,2885905,1771252,1157532,439908,689809,27815
KY,Kentucky,4425092,4380415,3037153,1798048,679370,1087190,31488
LA,Louisiana,4670724,4601893,2965751,1994065,809141,1152262,32662
ME,Maine,1329328,1329192,1025444,713180,401306,292276,19598
MD,Maryland,6006401,5884563,3694527,2707327,1677844,971869,57614
MA,Massachusetts,6794422,6646144,4342841,3167767,1921761,1188460,57546
MI,Michigan,9922576,9883360,7454553,4745316,2564569,2115256,65491
MN,Minnesota,5489594,5379139,3611892,2936561,1546167,1320225,70169
MS,Mississippi,2992333,2984926,2066851,1285584,562949,710746,11889
MO,Missouri,6083672,6021988,4007174,2763689,1223796,1482440,57453
MT,Montana,1032949,1005141,681608,484484,201839,267928,14717
NE,Nebraska,1896190,1855525,1163871,794379,302081,475064,17234
NV,Nevada,2890845,2758931,1500818,1014918,531373,463567,19978
NH,New Hampshire,1330608,1320718,905957,710972,369561,329918,11493
NJ,New Jersey,8958013,8864590,5497322,3651140,2126610,1478749,45781
NM,New Mexico,2085109,2085538,1254567,783757,415335,335788,32634
NY,New York,19795791,19570261,11969192,7081536,4485877,2490496,105163
NC,North Carolina,10042802,9752073,6649188,4505372,2178391,2270395,56586
ND,North Dakota,756927,699628,0,322627,124827,188163,9637
OH,Ohio,11613423,11544225,7987203,5590934,2827709,2661437,101788
OK,Oklahoma,3911338,3814820,2114713,1334872,443547,891325,0
OR,Oregon,4028977,3899353,2199360,1789270,970488,754175,64607
PA,Pennsylvania,12802503,12763536,8508015,5755620,2990274,2680434,84912
RI,Rhode Island,1056298,1050292,732860,446049,279677,157204,9168
SC,South Carolina,4896146,4723723,2875496,1964118,865941,1071645,26532
SD,South Dakota,858469,833354,581753,363815,145039,210610,8166
TN,Tennessee,6600299,6456243,4013242,2460904,960709,1462330,37865
TX,Texas,27469114,26059203,13646226,7999657,3308124,4569843,121690
UT,Utah,2995919,2855287,1513241,1020861,251813,740600,28448
VT,Vermont,626042,626011,461237,299290,199239,92698,7353
VA,Virginia,8382993,8185867,5428833,3854489,1971820,1822522,60147
WA,Washington,7170351,6897012,3904959,3145958,1755396,1290670,99892
WV,West Virginia,1844128,1855413,1246559,672119,238269,417655,16195
WI,Wisconsin,5771337,5726398,3644205,3068434,1620985,1407966,39483
WY,Wyoming,586107,576412,240438,249061,69286,170962,8813
