electors,percentage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0.00001
29,0.00001
30,0.00001
31,0.00001
32,0
33,0
34,0
35,0
36,0
37,0
38,0.00001
39,0
40,0
41,0
42,0.00001
43,0
44,0
45,0
46,0
47,0
48,0.00001
49,0.00002
50,0.00001
51,0.00001
52,0.00002
53,0.00003
54,0
55,0.00002
56,0.00002
57,0.00003
58,0.00002
59,0.00001
60,0.00001
61,0.00001
62,0.00005
63,0.00001
64,0.00001
65,0.00003
66,0.00001
67,0.00001
68,0.00002
69,0.00001
70,0.00005
71,0.00001
72,0.00005
73,0.00002
74,0.00009
75,0.00003
76,0.00004
77,0.00002
78,0.00002
79,0.00001
80,0.00006
81,0.00005
82,0.00004
83,0.00007
84,0.00005
85,0.00002
86,0.00006
87,0.00007
88,0.00002
89,0.00001
90,0.00012
91,0.00002
92,0.00008
93,0.00005
94,0.00004
95,0.00006
96,0.00003
97,0.00012
98,0.00007
99,0.00008
100,0.00006
101,0.00009
102,0.00019
103,0.00007
104,0.00009
105,0.00012
106,0.00008
107,0.00014
108,0.00012
109,0.00014
110,0.00013
111,0.00012
112,0.00008
113,0.00012
114,0.00012
115,0.00018
116,0.00019
117,0.0001
118,0.00017
119,0.00019
120,0.00009
121,0.0001
122,0.00018
123,0.0002
124,0.00011
125,0.00024
126,0.00027
127,0.00013
128,0.00026
129,0.00029
130,0.00029
131,0.00033
132,0.00021
133,0.00026
134,0.00033
135,0.00031
136,0.00028
137,0.00043
138,0.00024
139,0.00034
140,0.00038
141,0.00037
142,0.0004
143,0.00054
144,0.00031
145,0.00039
146,0.0005
147,0.00047
148,0.00051
149,0.00063
150,0.00065
151,0.00052
152,0.00052
153,0.00055
154,0.0006
155,0.00068
156,0.00074
157,0.00077
158,0.00076
159,0.00078
160,0.00072
161,0.00076
162,0.00065
163,0.00088
164,0.00085
165,0.00095
166,0.00085
167,0.00094
168,0.00094
169,0.00096
170,0.00102
171,0.00083
172,0.00121
173,0.00098
174,0.00119
175,0.00123
176,0.00105
177,0.00121
178,0.00125
179,0.00154
180,0.00144
181,0.00131
182,0.00154
183,0.00129
184,0.0017
185,0.0016
186,0.00161
187,0.00164
188,0.00141
189,0.00162
190,0.00159
191,0.00211
192,0.0019
193,0.00177
194,0.00196
195,0.00199
196,0.00199
197,0.00218
198,0.00202
199,0.00197
200,0.00207
201,0.00231
202,0.00208
203,0.00211
204,0.00225
205,0.00231
206,0.0023
207,0.00263
208,0.00208
209,0.00216
210,0.0027
211,0.00236
212,0.00223
213,0.00242
214,0.00232
215,0.00221
216,0.00272
217,0.0029
218,0.00256
219,0.00288
220,0.00313
221,0.00262
222,0.00277
223,0.00322
224,0.00266
225,0.00271
226,0.00312
227,0.00298
228,0.00258
229,0.00302
230,0.00314
231,0.00258
232,0.00309
233,0.00304
234,0.00261
235,0.003
236,0.00379
237,0.00305
238,0.00292
239,0.00333
240,0.00369
241,0.00335
242,0.0034
243,0.00325
244,0.00307
245,0.00338
246,0.00393
247,0.00291
248,0.00312
249,0.00385
250,0.00375
251,0.00331
252,0.00355
253,0.00346
254,0.00359
255,0.00394
256,0.00362
257,0.00339
258,0.00358
259,0.00439
260,0.004
261,0.0041
262,0.00346
263,0.00363
264,0.00357
265,0.00463
266,0.00401
267,0.00371
268,0.00384
269,0.00395
270,0.00422
271,0.0038
272,0.00425
273,0.0039
274,0.00464
275,0.0051
276,0.00362
277,0.00398
278,0.00399
279,0.00453
280,0.00433
281,0.00423
282,0.00344
283,0.00442
284,0.0042
285,0.00495
286,0.0036
287,0.00479
288,0.00423
289,0.00412
290,0.00506
291,0.00436
292,0.00416
293,0.00503
294,0.00506
295,0.00395
296,0.0048
297,0.00519
298,0.00486
299,0.00474
300,0.00532
301,0.00413
302,0.00467
303,0.0062
304,0.00424
305,0.00442
306,0.00495
307,0.004
308,0.00565
309,0.00513
310,0.00413
311,0.00428
312,0.00617
313,0.00465
314,0.00675
315,0.00361
316,0.00485
317,0.00447
318,0.00656
319,0.00574
320,0.00439
321,0.00486
322,0.00527
