date,avgElectors,calledElectors,probability,iterations,recounts,ties,demWinPop,gopWinPop,demWinPopLoseEC,gopWinPopLoseEC,demLandslide,gopLandslide
1469170800000,311.63166,347,0.68963,100000,0.0005,0.00326,0.71229,0.28771,0.04963,0.02697,0.09222,0.00721
1469084400000,312.66898,347,0.69423,100000,0.00049,0.00276,0.71596,0.28403999999999996,0.04796,0.02623,0.09506,0.00708
1468998000000,313.8257,347,0.69878,100000,0.00034,0.00318,0.71992,0.28008,0.04757,0.02643,0.10085,0.00746
1468911600000,314.11471,347,0.69008,100000,0.00046,0.00309,0.74241,0.25759,0.06824,0.01591,0.11796,0.00682
1468825200000,314.80449,347,0.69398,100000,0.00041,0.00324,0.7451,0.2549,0.06694,0.01582,0.11596,0.00596
1468738800000,317.19385,347,0.70727,100000,0.00068,0.00372,0.74899,0.25100999999999996,0.0606,0.01888,0.12108,0.00607
1468652400000,317.42051,347,0.70782,100000,0.00048,0.00357,0.7494,0.25060000000000004,0.06071,0.01913,0.12395,0.00606
1468566000000,317.43435,347,0.70051,100000,0.00056,0.00335,0.7674,0.23260000000000003,0.07888,0.01199,0.13606,0.00535
1468479600000,321.10553,347,0.71501,100000,0.00034,0.00323,0.77552,0.22448,0.07241,0.0119,0.15755,0.00562
1468393200000,319.63497,347,0.70578,100000,0.00045,0.00272,0.76809,0.23190999999999995,0.07441,0.0121,0.15534,0.00613
1468306800000,322.42361,347,0.74811,100000,0.00028,0.00177,0.76362,0.23638000000000003,0.04083,0.02532,0.15371,0.00691
1468220400000,319.98715,347,0.73772,100000,0.00027,0.00204,0.75442,0.24558000000000002,0.0419,0.0252,0.14947,0.00763
1468134000000,318.86097,332,0.71353,100000,0.00026,0.00205,0.75161,0.24839,0.05556,0.01748,0.15002,0.00844
1468047600000,319.31849,347,0.7137,100000,0.00023,0.00182,0.75148,0.24851999999999996,0.05448,0.0167,0.15651,0.00925
1467961200000,320.2174,347,0.71598,100000,0.00021,0.002,0.75441,0.24558999999999997,0.05474,0.01631,0.1588,0.00883
1467874800000,324.05845,358,0.73799,100000,0.00027,0.00201,0.75566,0.24434,0.04133,0.02366,0.15983,0.00874
1467788400000,324.0361,358,0.73704,100000,0.00015,0.00216,0.75525,0.24475000000000002,0.04172,0.02351,0.1622,0.00874
1467702000000,323.8904,358,0.73024,100000,0.00027,0.00189,0.75244,0.24756,0.04326,0.02106,0.1727,0.01044
1467615600000,323.50973,358,0.72836,100000,0.00025,0.0019,0.74815,0.25185,0.042,0.02221,0.17356,0.01081
1467529200000,324.79707,358,0.73234,100000,0.0003,0.00169,0.75411,0.24589000000000005,0.04391,0.02214,0.17601,0.0111
1467442800000,325.16177,358,0.73239,100000,0.00026,0.00191,0.75203,0.24797000000000002,0.04145,0.02181,0.18032,0.01085
1467356400000,326.49332,358,0.74095,100000,0.00039,0.00178,0.76252,0.23748000000000002,0.04247,0.0209,0.17793,0.00892
